 (9.999690651893615723e-01+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-4.635142249753698707e-05+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-8.228573278756812215e-05+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-1.620907714823260903e-04+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-2.122681471519172192e-04+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-2.392109454376623034e-04+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-2.806369157042354345e-04+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-3.935885615646839142e-04+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-2.008593874052166939e-03+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-3.829958848655223846e-03+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-3.999562977696768939e-05+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-7.051901775412261486e-05+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-4.234341395203955472e-05+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-2.203422991442494094e-05+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-9.157159183814655989e-06+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-2.838045247699483298e-06+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (9.810569281398784369e-07+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (2.920780843851389363e-06+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (3.953821760660503060e-06+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (4.039021405333187431e-06+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j)  (9.999690651893615723e-01+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-4.635131335817277431e-05+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-8.228554361267015338e-05+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-1.620903785806149244e-04+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-2.122676523867994547e-04+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-2.392103924648836255e-04+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-2.806363045237958431e-04+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-3.935878048650920391e-04+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-2.008595736697316170e-03+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-3.829949069768190384e-03+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-3.999642649432644248e-05+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-7.051982538541778922e-05+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-4.234533480484969914e-05+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-2.203457188443280756e-05+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-9.157111890090163797e-06+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-2.838103000613045879e-06+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (9.804982710193144158e-07+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (2.920188535426859744e-06+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (3.953436589654302225e-06+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (4.038998667965643108e-06+0.000000000000000000e+00j)
 (-4.635142249753698707e-05+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (9.999303817749023438e-01+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-1.237575925188139081e-04+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-2.442689728923141956e-04+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-3.207261615898460150e-04+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-3.628024714998900890e-04+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-4.284122260287404060e-04+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-6.086135981604456902e-04+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-3.182391636073589325e-03+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-5.688106641173362732e-03+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-5.146392140886746347e-05+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-8.640887972433120012e-05+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-4.760831143357791007e-05+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-2.084323205053806305e-05+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-5.033969046053243801e-06+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (2.492933390385587700e-06+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (6.885806214995682240e-06+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (8.285176591016352177e-06+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (9.025608960655517876e-06+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (8.312504178320523351e-06+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j)  (-4.635131335817277431e-05+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (9.999303817749023438e-01+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-1.237572869285941124e-04+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-2.442683908157050610e-04+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-3.207254048902541399e-04+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-3.628016565926373005e-04+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-4.284112656023353338e-04+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-6.086124340072274208e-04+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-3.182394430041313171e-03+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-5.688091740012168884e-03+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-5.146514740772545338e-05+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-8.641053136670961976e-05+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-4.761037052958272398e-05+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-2.084396510326769203e-05+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-5.034305559092899784e-06+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (2.492641897333669476e-06+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (6.885241873533232138e-06+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (8.284639989142306149e-06+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (9.025236977322492748e-06+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (8.312410500366240740e-06+0.000000000000000000e+00j)
 (-8.228573278756812215e-05+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-1.237575925188139081e-04+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (9.997795224189758301e-01+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-4.362754989415407181e-04+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-5.747232353314757347e-04+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-6.531928665935993195e-04+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-7.775448029860854149e-04+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-1.121910638175904751e-03+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-6.034607067704200745e-03+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-9.972002357244491577e-03+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-7.363956683548167348e-05+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-1.136777282226830721e-04+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-5.232380499364808202e-05+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-1.258892461919458583e-05+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (8.279577741632238030e-06+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.766096465871669352e-05+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (2.275112274219281971e-05+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (2.224027957709040493e-05+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (2.195174965891055763e-05+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.904627788462676108e-05+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j)  (-8.228554361267015338e-05+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-1.237572869285941124e-04+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (9.997795224189758301e-01+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-4.362744512036442757e-04+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-5.747218965552747250e-04+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-6.531912949867546558e-04+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-7.775431149639189243e-04+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-1.121908426284790039e-03+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-6.034612189978361130e-03+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-9.971975348889827728e-03+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-7.364150951616466045e-05+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-1.136809951276518404e-04+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-5.232644980424083769e-05+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-1.259049622603924945e-05+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (8.278480891021899879e-06+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.766016612236853689e-05+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (2.275039878441020846e-05+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (2.223971387138590217e-05+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (2.195130946347489953e-05+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.904600867419503629e-05+0.000000000000000000e+00j)
 (-1.620907714823260903e-04+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-2.442689728923141956e-04+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-4.362754989415407181e-04+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (9.991340041160583496e-01+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-1.145526301115751266e-03+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-1.309564569965004921e-03+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-1.574294175952672958e-03+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-2.314087236300110817e-03+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-1.285465806722640991e-02+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-1.933008618652820587e-02+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-1.048268386512063444e-04+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-1.351610699202865362e-04+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-3.223970634280703962e-05+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (2.815650623233523220e-05+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (5.318247713148593903e-05+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (6.283634866122156382e-05+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (6.690178997814655304e-05+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (5.946644523646682501e-05+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (5.546267129830084741e-05+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (4.628975511877797544e-05+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j)  (-1.620903785806149244e-04+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-2.442683908157050610e-04+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-4.362744512036442757e-04+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (9.991340041160583496e-01+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-1.145523507148027420e-03+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-1.309561543166637421e-03+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-1.574290683493018150e-03+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-2.314082579687237740e-03+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-1.285466831177473068e-02+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-1.933003589510917664e-02+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-1.048301128321327269e-04+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-1.351676037302240729e-04+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-3.224385363864712417e-05+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (2.815320658555720001e-05+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (5.317992690834216774e-05+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (6.283453694777563214e-05+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (6.690061127301305532e-05+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (5.946568489889614284e-05+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (5.546201646211557090e-05+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (4.628914030035957694e-05+0.000000000000000000e+00j)
 (-2.122681471519172192e-04+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-3.207261615898460150e-04+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-5.747232353314757347e-04+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-1.145526301115751266e-03+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (9.984765648841857910e-01+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-1.754684024490416050e-03+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-2.135764108970761299e-03+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-3.211527829989790916e-03+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-1.851835474371910095e-02+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-2.477364987134933472e-02+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-7.515764445997774601e-05+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-4.246803291607648134e-05+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (6.316488725133240223e-05+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.143467088695615530e-04+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.227856409968808293e-04+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.221989950863644481e-04+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.186655354104004800e-04+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (9.964511991711333394e-05+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (8.945241279434412718e-05+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (7.257520337589085102e-05+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j)  (-2.122676523867994547e-04+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-3.207254048902541399e-04+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-5.747218965552747250e-04+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-1.145523507148027420e-03+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (9.984765648841857910e-01+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-1.754679949954152107e-03+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-2.135759452357888222e-03+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-3.211521543562412262e-03+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-1.851836964488029480e-02+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-2.477358281612396240e-02+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-7.516104960814118385e-05+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-4.247600372764281929e-05+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (6.315991777228191495e-05+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.143424742622300982e-04+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.227824104717001319e-04+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.221966667799279094e-04+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.186639565275982022e-04+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (9.964408673113211989e-05+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (8.945150329964235425e-05+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (7.257432298501953483e-05+0.000000000000000000e+00j)
