  0.00000000E+00  0.12984922E+02
  0.21267991E-01  0.12983063E+02
  0.42535982E-01  0.12977788E+02
  0.63803972E-01  0.12969848E+02
  0.85071963E-01  0.12960144E+02
  0.10633995E+00  0.12949498E+02
  0.12760794E+00  0.12938564E+02
  0.14887594E+00  0.12927827E+02
  0.17014393E+00  0.12917637E+02
  0.19141192E+00  0.12908241E+02
  0.21267991E+00  0.12899815E+02
  0.23394790E+00  0.12892478E+02
  0.25521589E+00  0.12886310E+02
  0.27648388E+00  0.12881362E+02
  0.29775187E+00  0.12877661E+02
  0.31901986E+00  0.12875216E+02
  0.34028785E+00  0.12874022E+02
  0.36155584E+00  0.12874062E+02
  0.38282383E+00  0.12875311E+02
  0.40409183E+00  0.12877735E+02
  0.42535982E+00  0.12881295E+02
  0.44662781E+00  0.12885945E+02
  0.46789580E+00  0.12891633E+02
  0.48916379E+00  0.12898304E+02
  0.51043178E+00  0.12905894E+02
  0.53169977E+00  0.12914337E+02
  0.55296776E+00  0.12923557E+02
  0.57423575E+00  0.12933473E+02
  0.59550374E+00  0.12943998E+02
  0.61677173E+00  0.12955037E+02
  0.63803972E+00  0.12966489E+02
  0.65930771E+00  0.12978249E+02
  0.68057571E+00  0.12990205E+02
  0.70184370E+00  0.13002246E+02
  0.72311169E+00  0.13014255E+02
  0.74437968E+00  0.13026119E+02
  0.76564767E+00  0.13037727E+02
  0.78691566E+00  0.13048973E+02
  0.80818365E+00  0.13059754E+02
  0.82945164E+00  0.13069980E+02
  0.85071963E+00  0.13079565E+02
  0.87198762E+00  0.13088434E+02
  0.89325561E+00  0.13096521E+02
  0.91452360E+00  0.13103772E+02
  0.93579160E+00  0.13110138E+02
  0.95705959E+00  0.13115582E+02
  0.97832758E+00  0.13120074E+02
  0.99959557E+00  0.13123590E+02
  0.10208636E+01  0.13126113E+02
  0.10421315E+01  0.13127632E+02
  0.10633995E+01  0.13128139E+02
  0.10847502E+01  0.13127528E+02
  0.11061010E+01  0.13125700E+02
  0.11274517E+01  0.13122668E+02
  0.11488024E+01  0.13118451E+02
  0.11701531E+01  0.13113077E+02
