  0.00000000E+00  0.79034607E+01
  0.21267991E-01  0.78962354E+01
  0.42535982E-01  0.78756678E+01
  0.63803972E-01  0.78443243E+01
  0.85071963E-01  0.78049211E+01
  0.10633995E+00  0.77596334E+01
  0.12760794E+00  0.77100205E+01
  0.14887594E+00  0.76571718E+01
  0.17014393E+00  0.76018618E+01
  0.19141192E+00  0.75446613E+01
  0.21267991E+00  0.74860099E+01
  0.23394790E+00  0.74262608E+01
  0.25521589E+00  0.73657084E+01
  0.27648388E+00  0.73046059E+01
  0.29775187E+00  0.72431770E+01
  0.31901986E+00  0.71816225E+01
  0.34028785E+00  0.71201258E+01
  0.36155584E+00  0.70588562E+01
  0.38282383E+00  0.69979711E+01
  0.40409183E+00  0.69376179E+01
  0.42535982E+00  0.68779353E+01
  0.44662781E+00  0.68190542E+01
  0.46789580E+00  0.67610988E+01
  0.48916379E+00  0.67041869E+01
  0.51043178E+00  0.66484305E+01
  0.53169977E+00  0.65939364E+01
  0.55296776E+00  0.65408062E+01
  0.57423575E+00  0.64891368E+01
  0.59550374E+00  0.64390207E+01
  0.61677173E+00  0.63905455E+01
  0.63803972E+00  0.63437948E+01
  0.65930771E+00  0.62988479E+01
  0.68057571E+00  0.62557795E+01
  0.70184370E+00  0.62146602E+01
  0.72311169E+00  0.61755564E+01
  0.74437968E+00  0.61385300E+01
  0.76564767E+00  0.61036387E+01
  0.78691566E+00  0.60709356E+01
  0.80818365E+00  0.60404699E+01
  0.82945164E+00  0.60122861E+01
  0.85071963E+00  0.59864249E+01
  0.87198762E+00  0.59629226E+01
  0.89325561E+00  0.59418114E+01
  0.91452360E+00  0.59231198E+01
  0.93579160E+00  0.59068724E+01
  0.95705959E+00  0.58930902E+01
  0.97832758E+00  0.58817906E+01
  0.99959557E+00  0.58729877E+01
  0.10208636E+01  0.58666923E+01
  0.10421315E+01  0.58629120E+01
  0.10633995E+01  0.58616514E+01
  0.10847502E+01  0.58642578E+01
  0.11061010E+01  0.58720701E+01
  0.11274517E+01  0.58850680E+01
  0.11488024E+01  0.59032181E+01
  0.11701531E+01  0.59264743E+01
  0.11915038E+01  0.59547791E+01
  0.12128545E+01  0.59880643E+01
  0.12342052E+01  0.60262521E+01
  0.12555559E+01  0.60692563E+01
  0.12769066E+01  0.61169833E+01
