# |V2_up|^2  w_up  |V2_dn|^2  w_dn
1.33803652e-03 -2.86319406e+00 1.33803652e-03 -2.86319406e+00
2.32785005e-03 -2.54831227e+00 2.32785005e-03 -2.54831227e+00
4.95050587e-03 -2.23626995e+00 4.95050587e-03 -2.23626995e+00
1.36975394e-02 -1.95058824e+00 1.36975394e-02 -1.95058824e+00
2.83729396e-02 -1.65824468e+00 2.83729396e-02 -1.65824468e+00
2.85324622e-02 -1.36418628e+00 2.85324622e-02 -1.36418628e+00
2.45554326e-02 -1.07941557e+00 2.45554326e-02 -1.07941557e+00
2.17066029e-02 -7.74574163e-01 2.17066029e-02 -7.74574163e-01
1.63715095e-02 -4.74107772e-01 1.63715095e-02 -4.74107772e-01
4.51317603e-03 -2.27730623e-01 4.51317603e-03 -2.27730623e-01
5.01259190e-03 1.93538486e+00 5.01259190e-03 1.93538486e+00
3.50443521e-02 2.19556112e+00 3.50443521e-02 2.19556112e+00
3.12787977e-02 2.47726520e+00 3.12787977e-02 2.47726520e+00
2.30508875e-02 2.77757062e+00 2.30508875e-02 2.77757062e+00
1.38658558e-02 3.08597363e+00 1.38658558e-02 3.08597363e+00
9.99072046e-03 3.37534017e+00 9.99072046e-03 3.37534017e+00
7.97790760e-03 3.67802814e+00 7.97790760e-03 3.67802814e+00
5.07520657e-03 3.98399417e+00 5.07520657e-03 3.98399417e+00
3.60669971e-03 4.27237328e+00 3.60669971e-03 4.27237328e+00
2.78446936e-03 4.57508999e+00 2.78446936e-03 4.57508999e+00
1.77258632e-03 4.88267206e+00 1.77258632e-03 4.88267206e+00
