# |V2_up|^2  w_up  |V2_dn|^2  w_dn
1.16862706e-03 -2.88083785e+00 1.16862706e-03 -2.88083785e+00
1.89645543e-03 -2.60108243e+00 1.89645543e-03 -2.60108243e+00
3.29738936e-03 -2.32369172e+00 3.29738936e-03 -2.32369172e+00
9.97830081e-03 -2.04413720e+00 9.97830081e-03 -2.04413720e+00
1.89376134e-02 -1.78513803e+00 1.89376134e-02 -1.78513803e+00
2.82937254e-02 -1.52076582e+00 2.82937254e-02 -1.52076582e+00
2.44333297e-02 -1.25315091e+00 2.44333297e-02 -1.25315091e+00
2.27590707e-02 -9.83608580e-01 2.27590707e-02 -9.83608580e-01
1.67314774e-02 -7.07721919e-01 1.67314774e-02 -7.07721919e-01
1.55088656e-02 -4.46049211e-01 1.55088656e-02 -4.46049211e-01
3.36119981e-03 -2.01382201e-01 3.36119981e-03 -2.01382201e-01
5.01259190e-03 1.93538486e+00 5.01259190e-03 1.93538486e+00
2.70194015e-02 2.16200233e+00 2.70194015e-02 2.16200233e+00
3.32703847e-02 2.41488905e+00 3.32703847e-02 2.41488905e+00
2.10943612e-02 2.68555077e+00 2.10943612e-02 2.68555077e+00
1.62790231e-02 2.95708860e+00 1.62790231e-02 2.95708860e+00
1.04049352e-02 3.23241986e+00 1.04049352e-02 3.23241986e+00
8.69517401e-03 3.50363641e+00 8.69517401e-03 3.50363641e+00
5.72467024e-03 3.77749945e+00 5.72467024e-03 3.77749945e+00
4.70807402e-03 4.04806191e+00 4.70807402e-03 4.04806191e+00
3.02336052e-03 4.32219274e+00 3.02336052e-03 4.32219274e+00
2.45551233e-03 4.59306943e+00 2.45551233e-03 4.59306943e+00
1.60002343e-03 4.86807302e+00 1.60002343e-03 4.86807302e+00
