# |V2_up|^2  w_up  |V2_dn|^2  w_dn
2.10067742e-03 -2.78917454e+00 2.10067742e-03 -2.78917454e+00
5.66920626e-03 -2.32301973e+00 5.66920626e-03 -2.32301973e+00
2.19303943e-02 -1.89957407e+00 2.19303943e-02 -1.89957407e+00
4.02445173e-02 -1.51792682e+00 4.02445173e-02 -1.51792682e+00
3.85496925e-02 -1.10230017e+00 3.85496925e-02 -1.10230017e+00
2.68960502e-02 -6.62724429e-01 2.68960502e-02 -6.62724429e-01
1.09755168e-02 -3.22536524e-01 1.09755168e-02 -3.22536524e-01
1.63133601e-02 2.04294474e+00 1.63133601e-02 2.04294474e+00
5.20749522e-02 2.36389262e+00 5.20749522e-02 2.36389262e+00
2.95136070e-02 2.78546392e+00 2.95136070e-02 2.78546392e+00
1.83823356e-02 3.21963750e+00 1.83823356e-02 3.21963750e+00
1.05883567e-02 3.65553899e+00 1.05883567e-02 3.65553899e+00
6.57994403e-03 4.07126826e+00 6.57994403e-03 4.07126826e+00
4.23493311e-03 4.50114047e+00 4.23493311e-03 4.50114047e+00
2.41675547e-03 4.93983371e+00 2.41675547e-03 4.93983371e+00
