# |V2_up|^2  w_up  |V2_dn|^2  w_dn
1.89504534e-03 -2.80826673e+00 1.89504534e-03 -2.80826673e+00
3.36623351e-03 -2.42681270e+00 3.36623351e-03 -2.42681270e+00
1.29034451e-02 -2.04188461e+00 1.29034451e-02 -2.04188461e+00
3.25221475e-02 -1.68386768e+00 3.25221475e-02 -1.68386768e+00
3.44520210e-02 -1.33366205e+00 3.44520210e-02 -1.33366205e+00
3.00084594e-02 -9.71826684e-01 3.00084594e-02 -9.71826684e-01
2.37960721e-02 -5.82646932e-01 2.37960721e-02 -5.82646932e-01
7.42263068e-03 -2.77132031e-01 7.42263068e-03 -2.77132031e-01
1.28419461e-02 2.01879995e+00 1.28419461e-02 2.01879995e+00
4.23657145e-02 2.29280562e+00 4.23657145e-02 2.29280562e+00
3.33193665e-02 2.64395680e+00 3.33193665e-02 2.64395680e+00
1.97254579e-02 3.03099112e+00 1.97254579e-02 3.03099112e+00
1.26858107e-02 3.41763228e+00 1.26858107e-02 3.41763228e+00
7.75038530e-03 3.78802380e+00 7.75038530e-03 3.78802380e+00
5.51699292e-03 4.15383078e+00 5.51699292e-03 4.15383078e+00
3.48181474e-03 4.53851607e+00 3.48181474e-03 4.53851607e+00
