# |V2_up|^2  w_up  |V2_dn|^2  w_dn
2.79854712e-03 -2.72896230e+00 2.79854712e-03 -2.72896230e+00
9.04806700e-03 -2.19597315e+00 9.04806700e-03 -2.19597315e+00
3.88402573e-02 -1.72745787e+00 3.88402573e-02 -1.72745787e+00
4.55139679e-02 -1.27472430e+00 4.55139679e-02 -1.27472430e+00
3.52973082e-02 -7.81971687e-01 3.52973082e-02 -7.81971687e-01
1.48679072e-02 -3.64064364e-01 1.48679072e-02 -3.64064364e-01
2.80044942e-02 2.10727093e+00 2.80044942e-02 2.10727093e+00
5.13881641e-02 2.46514462e+00 5.13881641e-02 2.46514462e+00
2.88598267e-02 2.95400280e+00 2.88598267e-02 2.95400280e+00
1.51123124e-02 3.45824785e+00 1.51123124e-02 3.45824785e+00
9.27445724e-03 3.95071740e+00 9.27445724e-03 3.95071740e+00
5.04823405e-03 4.46297174e+00 5.04823405e-03 4.46297174e+00
2.71520626e-03 4.96779357e+00 2.71520626e-03 4.96779357e+00
