# |V2_up|^2  w_up  |V2_dn|^2  w_dn
1.16862706e-03 -2.88083785e+00 1.16862706e-03 -2.88083785e+00
1.62992006e-03 -2.62006992e+00 1.62992006e-03 -2.62006992e+00
2.46273173e-03 -2.37698705e+00 2.46273173e-03 -2.37698705e+00
6.58533527e-03 -2.12827900e+00 6.58533527e-03 -2.12827900e+00
1.52487396e-02 -1.87744753e+00 1.52487396e-02 -1.87744753e+00
2.35915178e-02 -1.63050975e+00 2.35915178e-02 -1.63050975e+00
2.54881346e-02 -1.37967984e+00 2.54881346e-02 -1.37967984e+00
2.00258332e-02 -1.14114080e+00 2.00258332e-02 -1.14114080e+00
1.89465126e-02 -9.02150915e-01 1.89465126e-02 -9.02150915e-01
1.63507956e-02 -6.42713799e-01 1.63507956e-02 -6.42713799e-01
1.24501467e-02 -4.01049018e-01 1.24501467e-02 -4.01049018e-01
2.41776047e-03 -1.73613582e-01 2.41776047e-03 -1.73613582e-01
3.50376457e-03 1.90583365e+00 3.50376457e-03 1.90583365e+00
2.45007296e-02 2.13607778e+00 2.45007296e-02 2.13607778e+00
2.72031664e-02 2.35445429e+00 2.72031664e-02 2.35445429e+00
2.41849977e-02 2.58964856e+00 2.41849977e-02 2.58964856e+00
1.67874567e-02 2.84627392e+00 1.67874567e-02 2.84627392e+00
1.20723700e-02 3.10380718e+00 1.20723700e-02 3.10380718e+00
9.02818694e-03 3.36087454e+00 9.02818694e-03 3.36087454e+00
6.08412547e-03 3.60273935e+00 6.08412547e-03 3.60273935e+00
5.32388363e-03 3.84154872e+00 5.32388363e-03 3.84154872e+00
3.95057361e-03 4.09783562e+00 3.95057361e-03 4.09783562e+00
2.90915337e-03 4.35424583e+00 2.90915337e-03 4.35424583e+00
2.13908068e-03 4.61083917e+00 2.13908068e-03 4.61083917e+00
1.42230286e-03 4.85334123e+00 1.42230286e-03 4.85334123e+00
