# |V2_up|^2  w_up  |V2_dn|^2  w_dn
1.51491369e-03 -2.84523969e+00 1.51491369e-03 -2.84523969e+00
2.86843767e-03 -2.49427511e+00 2.86843767e-03 -2.49427511e+00
7.46326276e-03 -2.14939190e+00 7.46326276e-03 -2.14939190e+00
2.34317720e-02 -1.82053694e+00 2.34317720e-02 -1.82053694e+00
3.14939349e-02 -1.50470679e+00 3.14939349e-02 -1.50470679e+00
2.94285183e-02 -1.19153553e+00 2.94285183e-02 -1.19153553e+00
2.52186559e-02 -8.57289187e-01 2.52186559e-02 -8.57289187e-01
1.90747113e-02 -5.19508396e-01 1.90747113e-02 -5.19508396e-01
5.87184812e-03 -2.52938605e-01 5.87184812e-03 -2.52938605e-01
7.10942447e-03 1.96508127e+00 7.10942447e-03 1.96508127e+00
4.07256405e-02 2.23757903e+00 4.07256405e-02 2.23757903e+00
3.15575933e-02 2.55389808e+00 3.15575933e-02 2.55389808e+00
2.17535256e-02 2.88803603e+00 2.17535256e-02 2.88803603e+00
1.30396118e-02 3.22894666e+00 1.30396118e-02 3.22894666e+00
9.17900170e-03 3.54994532e+00 9.17900170e-03 3.54994532e+00
6.94719949e-03 3.88400474e+00 6.94719949e-03 3.88400474e+00
4.24903833e-03 4.22236397e+00 4.24903833e-03 4.22236397e+00
3.12645347e-03 4.55690245e+00 3.12645347e-03 4.55690245e+00
